"Date","Price","Open","High","Low","Vol.","Change %"
"Feb 15, 2018","926.32","919.13","945.00","903.20","205.52K","0.78"
"Feb 14, 2018","919.11","839.69","922.00","839.69","199.27K","9.46"
"Feb 13, 2018","839.69","866.40","869.26","821.57","130.39K","-3.08"
"Feb 12, 2018","866.40","810.64","876.52","810.64","130.22K","6.88"
"Feb 11, 2018","810.64","851.66","854.50","778.52","146.90K","-4.85"
"Feb 10, 2018","852.00","878.01","908.99","815.52","165.70K","-3.06"
"Feb 09, 2018","878.90","814.01","881.69","780.53","182.42K","8.08"
"Feb 08, 2018","813.20","752.88","845.88","749.88","236.13K","8.25"
"Feb 07, 2018","751.25","782.99","848.60","716.30","416.98K","-3.88"
"Feb 06, 2018","781.60","698.62","798.70","566.00","790.23K","11.88"
"Feb 05, 2018","698.62","827.90","858.00","641.01","547.57K","-15.83"
"Feb 04, 2018","829.98","972.19","972.69","776.00","340.10K","-14.65"
"Feb 03, 2018","972.40","923.20","999.00","845.00","211.35K","5.32"
"Feb 02, 2018","923.30","1,036.20","1,038.70","769.99","520.79K","-10.90"
"Feb 01, 2018","1,036.30","1,120.70","1,167.00","985.01","285.60K","-7.58"
"Jan 31, 2018","1,121.30","1,076.80","1,128.70","1,027.80","136.70K","4.21"
"Jan 30, 2018","1,076.00","1,174.30","1,178.80","1,041.00","246.88K","-8.43"
"Jan 29, 2018","1,175.00","1,245.50","1,259.80","1,155.90","139.56K","-5.74"
"Jan 28, 2018","1,246.60","1,114.70","1,264.80","1,109.00","189.36K","11.82"
"Jan 27, 2018","1,114.80","1,046.90","1,125.30","1,031.60","105.76K","6.48"
"Jan 26, 2018","1,047.00","1,048.20","1,078.60","983.00","138.71K","-0.11"
"Jan 25, 2018","1,048.20","1,061.80","1,102.40","1,025.10","162.09K","-1.41"
"Jan 24, 2018","1,063.20","982.11","1,068.80","952.04","173.18K","8.16"
"Jan 23, 2018","982.98","995.26","1,022.00","905.38","228.08K","-1.22"
"Jan 22, 2018","995.08","1,047.00","1,084.10","912.76","238.82K","-4.96"
"Jan 21, 2018","1,047.00","1,146.30","1,146.30","1,001.50","197.63K","-8.64"
"Jan 20, 2018","1,146.00","1,032.60","1,160.00","1,029.60","163.86K","10.98"
"Jan 19, 2018","1,032.60","993.92","1,079.00","960.10","174.91K","3.80"
"Jan 18, 2018","994.81","1,020.10","1,079.00","940.00","374.07K","-2.23"
"Jan 17, 2018","1,017.50","1,019.60","1,088.30","770.10","686.58K","-0.25"
"Jan 16, 2018","1,020.10","1,275.80","1,278.80","868.98","672.02K","-19.89"
"Jan 15, 2018","1,273.40","1,349.90","1,377.90","1,264.40","137.68K","-5.67"
"Jan 14, 2018","1,350.00","1,379.90","1,385.00","1,256.00","176.75K","-2.17"
"Jan 13, 2018","1,380.00","1,257.00","1,423.20","1,252.60","202.78K","9.77"
"Jan 12, 2018","1,257.20","1,135.10","1,285.00","1,083.40","209.24K","10.72"
"Jan 11, 2018","1,135.50","1,245.90","1,331.80","1,102.50","360.57K","-9.01"
"Jan 10, 2018","1,248.00","1,285.70","1,381.90","1,203.20","380.43K","-2.78"
"Jan 09, 2018","1,283.70","1,129.40","1,299.00","1,119.10","296.90K","13.67"
"Jan 08, 2018","1,129.30","1,115.90","1,225.00","968.12","439.43K","1.21"
"Jan 07, 2018","1,115.80","1,004.30","1,116.00","999.50","199.83K","11.10"
"Jan 06, 2018","1,004.30","962.77","1,014.20","951.38","127.79K","4.31"
"Jan 05, 2018","962.77","939.30","1,023.60","930.00","298.24K","2.42"
"Jan 04, 2018","940.00","942.01","997.00","893.24","348.62K","-0.21"
"Jan 03, 2018","942.01","858.78","954.73","840.00","310.54K","9.69"
"Jan 02, 2018","858.78","752.46","890.00","752.46","420.96K","14.13"
"Jan 01, 2018","752.46","736.77","762.00","717.94","121.56K","2.13"
"Dec 31, 2017","736.77","682.22","741.99","675.56","153.38K","8.00"
"Dec 30, 2017","682.22","731.52","737.56","640.43","267.70K","-6.74"
"Dec 29, 2017","731.52","711.42","755.00","703.02","204.82K","2.83"
"Dec 28, 2017","711.42","736.45","740.30","652.00","255.38K","-3.40"
"Dec 27, 2017","736.45","749.80","766.06","703.27","167.81K","-1.78"
"Dec 26, 2017","749.80","709.81","749.80","708.83","149.07K","5.63"
"Dec 25, 2017","709.81","659.89","737.00","651.76","218.49K","7.56"
"Dec 24, 2017","659.89","672.59","675.00","560.00","312.62K","-1.89"
"Dec 23, 2017","672.59","628.19","717.00","616.19","240.69K","7.07"
"Dec 22, 2017","628.19","786.97","792.00","492.01","780.15K","-20.18"
"Dec 21, 2017","786.97","794.99","848.08","747.10","341.95K","-1.01"
"Dec 20, 2017","794.99","799.98","826.20","709.00","423.20K","-0.62"
"Dec 19, 2017","799.98","783.99","863.00","750.01","518.29K","2.04"
"Dec 18, 2017","783.99","708.78","798.90","660.00","420.29K","10.61"
